,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.697,0.007,0.688,0.706,0.0,0.0,2635.0,2681.0,1.0
Omega_m,0.262,0.019,0.237,0.289,0.001,0.0,2058.0,2257.0,1.0
dGW[0],0.556,0.006,0.55,0.562,0.0,0.0,2785.0,2680.0,1.0
dGW[1],0.691,0.007,0.684,0.698,0.0,0.0,2834.0,2774.0,1.0
dGW[2],0.722,0.008,0.715,0.73,0.0,0.0,2846.0,2796.0,1.0
dGW[3],0.729,0.008,0.722,0.737,0.0,0.0,2848.0,2796.0,1.0
dGW[4],0.731,0.008,0.724,0.739,0.0,0.0,2849.0,2805.0,1.0
dGW[5],0.948,0.01,0.939,0.957,0.0,0.0,2945.0,2919.0,1.0
dGW[6],0.985,0.01,0.975,0.994,0.0,0.0,2963.0,2956.0,1.0
dGW[7],1.094,0.011,1.084,1.104,0.0,0.0,3022.0,2997.0,1.0
dGW[8],1.245,0.013,1.234,1.256,0.0,0.0,3113.0,3078.0,1.0
dGW[9],1.309,0.013,1.298,1.32,0.0,0.0,3155.0,3141.0,1.0
dGW[10],1.316,0.013,1.305,1.328,0.0,0.0,3160.0,3131.0,1.0
dGW[11],1.337,0.013,1.326,1.348,0.0,0.0,3175.0,3133.0,1.0
dGW[12],1.35,0.014,1.338,1.361,0.0,0.0,3183.0,3140.0,1.0
dGW[13],1.404,0.014,1.392,1.416,0.0,0.0,3223.0,3284.0,1.0
dGW[14],1.408,0.014,1.396,1.419,0.0,0.0,3226.0,3296.0,1.0
dGW[15],1.416,0.014,1.404,1.427,0.0,0.0,3232.0,3285.0,1.0
dGW[16],1.468,0.015,1.455,1.479,0.0,0.0,3272.0,3386.0,1.0
dGW[17],1.489,0.015,1.476,1.501,0.0,0.0,3289.0,3404.0,1.0
dGW[18],1.503,0.015,1.491,1.515,0.0,0.0,3301.0,3389.0,1.0
dGW[19],1.503,0.015,1.491,1.515,0.0,0.0,3301.0,3389.0,1.0
dGW[20],1.514,0.015,1.502,1.526,0.0,0.0,3310.0,3363.0,1.0
dGW[21],1.534,0.015,1.521,1.546,0.0,0.0,3326.0,3408.0,1.0
dGW[22],1.593,0.016,1.58,1.606,0.0,0.0,3378.0,3472.0,1.0
dGW[23],1.607,0.016,1.594,1.62,0.0,0.0,3391.0,3459.0,1.0
dGW[24],1.611,0.016,1.598,1.623,0.0,0.0,3394.0,3494.0,1.0
dGW[25],1.661,0.016,1.648,1.674,0.0,0.0,3442.0,3615.0,1.0
dGW[26],1.691,0.016,1.678,1.704,0.0,0.0,3472.0,3630.0,1.0
dGW[27],1.795,0.017,1.781,1.808,0.0,0.0,3580.0,3780.0,1.0
dGW[28],1.803,0.017,1.789,1.816,0.0,0.0,3588.0,3782.0,1.0
dGW[29],1.816,0.018,1.803,1.83,0.0,0.0,3605.0,3780.0,1.0
dGW[30],1.824,0.018,1.81,1.837,0.0,0.0,3613.0,3797.0,1.0
dGW[31],1.824,0.018,1.81,1.838,0.0,0.0,3614.0,3797.0,1.0
dGW[32],1.842,0.018,1.828,1.856,0.0,0.0,3634.0,3811.0,1.0
dGW[33],1.854,0.018,1.84,1.867,0.0,0.0,3647.0,3807.0,1.0
dGW[34],1.864,0.018,1.85,1.877,0.0,0.0,3659.0,3820.0,1.0
dGW[35],1.871,0.018,1.857,1.885,0.0,0.0,3668.0,3841.0,1.0
dGW[36],1.902,0.018,1.888,1.916,0.0,0.0,3706.0,3826.0,1.0
dGW[37],1.922,0.018,1.908,1.936,0.0,0.0,3731.0,3840.0,1.0
dGW[38],1.926,0.018,1.911,1.939,0.0,0.0,3735.0,3840.0,1.0
dGW[39],1.977,0.019,1.962,1.991,0.0,0.0,3802.0,3804.0,1.0
dGW[40],1.993,0.019,1.978,2.007,0.0,0.0,3823.0,3830.0,1.0
dGW[41],2.019,0.019,2.004,2.033,0.0,0.0,3858.0,3865.0,1.0
dGW[42],2.06,0.02,2.045,2.075,0.0,0.0,3918.0,3918.0,1.0
dGW[43],2.063,0.02,2.048,2.077,0.0,0.0,3922.0,3918.0,1.0
dGW[44],2.069,0.02,2.054,2.083,0.0,0.0,3931.0,3885.0,1.0
dGW[45],2.114,0.02,2.099,2.129,0.0,0.0,3999.0,3861.0,1.0
dGW[46],2.153,0.02,2.138,2.168,0.0,0.0,4059.0,4000.0,1.0
dGW[47],2.164,0.02,2.149,2.179,0.0,0.0,4076.0,3976.0,1.0
dGW[48],2.183,0.021,2.168,2.198,0.0,0.0,4107.0,4042.0,1.0
dGW[49],2.226,0.021,2.21,2.241,0.0,0.0,4178.0,4063.0,1.0
dGW[50],2.252,0.021,2.236,2.267,0.0,0.0,4223.0,4055.0,1.0
dGW[51],2.264,0.021,2.248,2.279,0.0,0.0,4245.0,4050.0,1.0
dGW[52],2.331,0.022,2.315,2.346,0.0,0.0,4368.0,4087.0,1.0
dGW[53],2.39,0.022,2.374,2.406,0.0,0.0,4484.0,4143.0,1.0
dGW[54],2.406,0.023,2.39,2.422,0.0,0.0,4515.0,4150.0,1.0
dGW[55],2.413,0.023,2.397,2.429,0.0,0.0,4530.0,4162.0,1.0
dGW[56],2.415,0.023,2.399,2.431,0.0,0.0,4534.0,4155.0,1.0
dGW[57],2.43,0.023,2.414,2.446,0.0,0.0,4564.0,4121.0,1.0
dGW[58],2.435,0.023,2.419,2.452,0.0,0.0,4576.0,4121.0,1.0
dGW[59],2.44,0.023,2.424,2.456,0.0,0.0,4585.0,4121.0,1.0
dGW[60],2.443,0.023,2.427,2.459,0.0,0.0,4592.0,4121.0,1.0
dGW[61],2.47,0.023,2.454,2.487,0.0,0.0,4650.0,4124.0,1.0
dGW[62],2.474,0.023,2.458,2.49,0.0,0.0,4658.0,4113.0,1.0
dGW[63],2.481,0.023,2.464,2.497,0.0,0.0,4673.0,4113.0,1.0
dGW[64],2.502,0.023,2.485,2.518,0.0,0.0,4719.0,4142.0,1.0
dGW[65],2.52,0.023,2.503,2.536,0.0,0.0,4762.0,4154.0,1.0
dGW[66],2.529,0.024,2.512,2.545,0.0,0.0,4784.0,4144.0,1.0
dGW[67],2.539,0.024,2.522,2.555,0.0,0.0,4807.0,4335.0,1.0
dGW[68],2.54,0.024,2.524,2.557,0.0,0.0,4812.0,4348.0,1.0
dGW[69],2.559,0.024,2.542,2.575,0.0,0.0,4857.0,4359.0,1.0
dGW[70],2.56,0.024,2.544,2.577,0.0,0.0,4861.0,4359.0,1.0
dGW[71],2.567,0.024,2.551,2.584,0.0,0.0,4879.0,4345.0,1.0
dGW[72],2.58,0.024,2.563,2.597,0.0,0.0,4911.0,4371.0,1.0
dGW[73],2.581,0.024,2.565,2.598,0.0,0.0,4914.0,4392.0,1.0
dGW[74],2.59,0.024,2.574,2.607,0.0,0.0,4939.0,4388.0,1.0
dGW[75],2.617,0.024,2.599,2.633,0.0,0.0,5007.0,4477.0,1.0
dGW[76],2.63,0.024,2.613,2.647,0.0,0.0,5043.0,4597.0,1.0
dGW[77],2.656,0.025,2.639,2.673,0.0,0.0,5119.0,4629.0,1.0
dGW[78],2.668,0.025,2.651,2.685,0.0,0.0,5152.0,4620.0,1.0
dGW[79],2.674,0.025,2.657,2.691,0.0,0.0,5168.0,4620.0,1.0
dGW[80],2.681,0.025,2.664,2.698,0.0,0.0,5190.0,4636.0,1.0
dGW[81],2.697,0.025,2.679,2.714,0.001,0.0,5234.0,4633.0,1.0
dGW[82],2.7,0.025,2.683,2.717,0.001,0.0,5243.0,4642.0,1.0
