,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.7,0.024,0.656,0.743,0.0,0.0,5114.0,5582.0,1.0
Omega_m,0.285,0.009,0.268,0.301,0.0,0.0,7204.0,7017.0,1.0
alpha,-0.248,0.559,-1.24,0.778,0.008,0.009,4915.0,4767.0,1.0
dL[0],0.078,0.003,0.074,0.083,0.0,0.0,5126.0,5564.0,1.0
dL[1],0.092,0.003,0.086,0.097,0.0,0.0,5128.0,5545.0,1.0
dL[2],0.105,0.004,0.098,0.111,0.0,0.0,5130.0,5565.0,1.0
dL[3],0.114,0.004,0.107,0.121,0.0,0.0,5131.0,5571.0,1.0
dL[4],0.136,0.005,0.128,0.145,0.0,0.0,5134.0,5571.0,1.0
dL[5],0.154,0.005,0.145,0.164,0.0,0.0,5137.0,5571.0,1.0
dL[6],0.186,0.006,0.175,0.197,0.0,0.0,5142.0,5557.0,1.0
dL[7],0.2,0.007,0.188,0.212,0.0,0.0,5144.0,5557.0,1.0
dL[8],0.213,0.007,0.201,0.226,0.0,0.0,5147.0,5555.0,1.0
dL[9],0.218,0.007,0.205,0.231,0.0,0.0,5147.0,5511.0,1.0
dL[10],0.241,0.008,0.227,0.256,0.0,0.0,5151.0,5543.0,1.0
dL[11],0.255,0.009,0.24,0.27,0.0,0.0,5153.0,5557.0,1.0
dL[12],0.255,0.009,0.24,0.27,0.0,0.0,5153.0,5557.0,1.0
dL[13],0.283,0.009,0.266,0.3,0.0,0.0,5157.0,5526.0,1.0
dL[14],0.297,0.01,0.28,0.315,0.0,0.0,5160.0,5526.0,1.0
dL[15],0.297,0.01,0.28,0.315,0.0,0.0,5160.0,5526.0,1.0
dL[16],0.297,0.01,0.28,0.315,0.0,0.0,5160.0,5526.0,1.0
dL[17],0.302,0.01,0.284,0.32,0.0,0.0,5161.0,5526.0,1.0
dL[18],0.316,0.01,0.297,0.335,0.0,0.0,5163.0,5535.0,1.0
dL[19],0.326,0.011,0.306,0.345,0.0,0.0,5165.0,5529.0,1.0
dL[20],0.34,0.011,0.32,0.36,0.0,0.0,5167.0,5521.0,1.0
dL[21],0.34,0.011,0.32,0.36,0.0,0.0,5167.0,5521.0,1.0
dL[22],0.354,0.012,0.333,0.375,0.0,0.0,5169.0,5521.0,1.0
