,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.711,0.012,0.69,0.733,0.0,0.0,7579.0,10072.0,1.0
Omega_m,0.269,0.027,0.22,0.318,0.0,0.0,7309.0,9981.0,1.0
dL[0],2.194,0.022,2.156,2.233,0.0,0.0,9542.0,13486.0,1.0
dL[1],5.59,0.045,5.522,5.661,0.0,0.0,32726.0,26061.0,1.0
dL[2],5.969,0.049,5.894,6.044,0.0,0.0,34454.0,26686.0,1.0
dL[3],8.003,0.075,7.891,8.12,0.001,0.001,24298.0,23282.0,1.0
dL[4],8.316,0.079,8.191,8.435,0.001,0.001,22703.0,22726.0,1.0
dL[5],9.569,0.099,9.414,9.722,0.001,0.001,18248.0,20508.0,1.0
dL[6],11.404,0.131,11.204,11.619,0.001,0.001,14855.0,19591.0,1.0
dL[7],12.038,0.143,11.815,12.27,0.002,0.001,14136.0,19077.0,1.0
dL[8],12.279,0.148,12.047,12.518,0.002,0.001,13900.0,18930.0,1.0
dL[9],13.971,0.182,13.685,14.268,0.002,0.002,12638.0,17564.0,1.0
dL[10],14.33,0.189,14.036,14.643,0.002,0.002,12446.0,17440.0,1.0
dL[11],16.222,0.229,15.866,16.606,0.003,0.002,11625.0,16529.0,1.0
dL[12],16.908,0.244,16.529,17.318,0.003,0.002,11402.0,16299.0,1.0
dL[13],20.585,0.327,20.054,21.118,0.004,0.003,10588.0,15145.0,1.0
dL[14],21.03,0.337,20.48,21.579,0.004,0.003,10519.0,15052.0,1.0
dL[15],21.222,0.342,20.668,21.782,0.004,0.003,10491.0,14963.0,1.0
dL[16],24.096,0.41,23.436,24.774,0.005,0.004,10145.0,14649.0,1.0
dL[17],27.107,0.483,26.334,27.914,0.006,0.005,9892.0,14329.0,1.0
dL[18],28.606,0.519,27.756,29.459,0.007,0.005,9793.0,14145.0,1.0
dL[19],29.039,0.53,28.167,29.905,0.007,0.005,9767.0,14061.0,1.0
dL[20],35.095,0.681,33.993,36.231,0.009,0.007,9489.0,13630.0,1.0
dL[21],39.169,0.785,37.901,40.481,0.01,0.008,9363.0,13322.0,1.0
dL[22],40.599,0.822,39.274,41.975,0.011,0.008,9326.0,13280.0,1.0
dL[23],46.652,0.978,45.077,48.296,0.013,0.01,9200.0,13045.0,1.0
dL[24],53.147,1.147,51.278,55.055,0.015,0.011,9103.0,12897.0,1.0
