,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
h,0.695,0.015,0.666,0.723,0.0,0.0,7042.0,8221.0,1.0
Omega_m,0.254,0.034,0.193,0.318,0.0,0.0,7023.0,8030.0,1.0
dGW[0],3.584,0.035,3.518,3.649,0.0,0.0,10297.0,14174.0,1.0
dGW[1],4.499,0.038,4.428,4.571,0.0,0.0,13586.0,17315.0,1.0
dGW[2],6.307,0.047,6.218,6.391,0.0,0.0,29366.0,26302.0,1.0
dGW[3],6.745,0.05,6.651,6.835,0.0,0.0,34215.0,27206.0,1.0
dGW[4],9.278,0.077,9.133,9.418,0.001,0.0,26921.0,24085.0,1.0
dGW[5],10.099,0.089,9.933,10.262,0.001,0.0,21973.0,23485.0,1.0
dGW[6],15.344,0.189,14.995,15.698,0.002,0.001,12036.0,15531.0,1.0
dGW[7],15.75,0.198,15.382,16.118,0.002,0.001,11795.0,15294.0,1.0
dGW[8],16.594,0.217,16.192,16.997,0.002,0.001,11366.0,14637.0,1.0
dGW[9],17.139,0.229,16.715,17.565,0.002,0.002,11135.0,14339.0,1.0
dGW[10],20.037,0.296,19.481,20.582,0.003,0.002,10279.0,13385.0,1.0
dGW[11],20.996,0.319,20.4,21.587,0.003,0.002,10087.0,13000.0,1.0
dGW[12],21.428,0.329,20.811,22.038,0.003,0.002,10010.0,12872.0,1.0
dGW[13],21.724,0.337,21.104,22.358,0.003,0.002,9960.0,12784.0,1.0
dGW[14],24.366,0.401,23.617,25.114,0.004,0.003,9607.0,12300.0,1.0
dGW[15],24.374,0.402,23.624,25.122,0.004,0.003,9606.0,12300.0,1.0
dGW[16],25.348,0.426,24.559,26.149,0.004,0.003,9505.0,12191.0,1.0
dGW[17],27.685,0.485,26.791,28.604,0.005,0.004,9308.0,11984.0,1.0
dGW[18],29.151,0.522,28.178,30.131,0.006,0.004,9208.0,11912.0,1.0
dGW[19],29.209,0.524,28.232,30.191,0.006,0.004,9204.0,11886.0,1.0
