## generated by gwcatalog
# version: dev - 2022-08-12T18:03:47Z (UTC)
# cosmology: ΛCDM (Ωm = 0.284, h = 0.7)
# observatory: ET (forecast)
# event type: BNSs
# number of events: 1500

# units: none, Gpc, Gpc
redshift,luminosity_distance,error
0.13620762138759512,0.6460198749369496,0.013294156182251589
0.14128289721612325,0.6658223783088676,0.014345174353999629
0.14856762978618487,0.7044728302006771,0.01592865187847556
0.1577099140985525,0.7832519271563759,0.018041996949318916
0.1600875096224369,0.8085937316287993,0.0186147824746668
0.17861222240797298,0.8853390663798576,0.02340920587148722
0.1864816434280574,0.8985519335939508,0.025625817934238345
0.1921125363244558,0.9276493837202324,0.027278543588579857
0.1942351684742523,0.9495580993373828,0.027916070888522587
0.1962398762778852,0.9612724805237155,0.028525501996778356
0.19985372008487395,0.9208576198676935,0.02964212882767668
0.20220011520443856,0.9906459661539424,0.03037957764158638
0.2046282272181024,1.0029554295036924,0.03115305694322598
0.22315900839142336,1.1548696271086973,0.03740554399994132
0.22516322913336673,1.127141201416323,0.03811911277606797
0.2292937567080288,1.1348311229226733,0.03961288494437715
0.2322162280371539,1.1767690113576752,0.040688674299770335
0.24209995777286514,1.1359685161874808,0.044443664471510914
0.25477251454057537,1.3185619623646625,0.049523821049534004
0.2593741227413092,1.3300734023528151,0.0514429925442268
0.27330832175163705,1.2281158697749808,0.057498726870479466
0.2755590233927686,1.4477405073814253,0.05851152716434929
0.2785370371740129,1.3984157277963383,0.05986650730527422
0.2787852333641868,1.404761598073762,0.05998020232163859
0.2802428170987449,1.3536994805636888,0.060650284894917424
0.28708621985274185,1.3807864256653075,0.06385096287720007
0.31075385208375117,1.4970695757512884,0.07562064138184738
0.313945325707906,1.5889730095989476,0.07729158491055955
0.3157563562901906,1.5555956144397254,0.0782487038336132
0.31621038259802514,1.5480667281867926,0.0784896687322352
0.3240794263566747,1.6478623690491356,0.08273077972879511
0.3376992012937475,1.8384079909574516,0.09036232873933578
0.3383364670676586,1.7999571000683867,0.09072848823546277
0.3502113645287561,1.9379631748870645,0.09770095852794784
0.35102805843656376,1.7980808498872487,0.09819094276203973
0.35582864544047893,1.900195670190737,0.1010984088331938
0.3573562446551092,1.887565790841188,0.10203339908618925
0.36253080127371984,1.9888584886381246,0.10523582058320093
0.3630136523972278,1.9066588248266416,0.10553742798510586
0.36544468962968313,2.1134113066023508,0.1070631721649716
0.3711535003011698,1.8438096131105863,0.11069356054718893
0.3713346074762744,1.9283528440229638,0.11080982334359828
0.378951342818814,1.9653099114893784,0.1157603919026632
0.38594855984220605,2.1365453426285232,0.12041357008227363
0.38842838333519053,1.8963605287128087,0.12208694014330239
0.3890723698511647,2.2934735649772295,0.1225235806561052
0.3891163328873219,2.1045687107038535,0.12255342012468666
0.3919853052205867,2.117121821858567,0.12450936793900923
0.3941351083054707,2.066888256785383,0.12598620922595505
0.3983943979964941,1.967281059023064,0.12894056745540738
0.3987306613817797,2.1724297354649456,0.129175416974637
0.4016238443428935,2.1359730126313865,0.1312057804712203
0.4026376326076917,2.123597207541914,0.13192136285515949
0.40917324073855793,2.1754428075907892,0.13658608327907876
0.4133122354699518,2.206950965165955,0.13958651844748987
0.4140753797039337,2.533047306227363,0.1401436622862548
0.41498744574021773,2.071423862525538,0.14081113374488796
0.41544389967612955,2.2768211768741704,0.1411458340460284
0.4175927963999324,2.113435079171091,0.14272742622204665
0.41789992548577254,2.610906777899278,0.14295426754562204
0.42124349309051146,2.1434519748003362,0.1454366379227658
0.42926797811159584,2.732886838269892,0.15149055581630674
0.43138095343755656,2.37393299255848,0.15310731193770957
0.4315250583604908,2.2565602848357784,0.15321791944587115
0.43503119079924557,2.3713067884469012,0.15592262404867874
0.43529300023515316,2.333466344282278,0.15612563667433157
0.43754666666717856,2.6441360174282877,0.15787920243215242
0.4385515697603325,2.3779347841836174,0.1586645941865265
0.4405888190145735,2.0760876190940003,0.16026342232578583
0.4423075038486209,2.3994485969831922,0.16161911783077837
0.4454877788037045,2.341840891654451,0.16414432748566285
